0,5.3509e-05,1
0.001,0.00020503,1
0.002,0.0011917,1
0.003,0.0015315,1
0.004,0.0018186,1
0.005,0.0021099,1
0.006,0.0024604,1
0.007,0.003216,1
0.008,0.0033228,1
0.009,0.0039791,1
0.01,0.0038865,1
0.011,0.0043129,1
0.012,0.0052702,1
0.013,0.0051411,1
0.014,0.0060562,1
0.015,0.0063668,1
0.016,0.0068828,1
0.017,0.0070019,1
0.018,0.0071207,1
0.019,0.007841,1
0.02,0.0079798,1
0.021,0.0082461,1
0.022,0.0086068,1
0.023,0.0091863,1
0.024,0.0092915,1
0.025,0.0099968,1
0.026,0.010037,1
0.027,0.010712,1
0.028,0.011315,1
0.029,0.011444,1
0.03,0.011654,1
0.031,0.012338,1
0.032,0.012699,1
0.033,0.012967,1
0.034,0.013114,1
0.035,0.013254,1
0.036,0.014154,1
0.037,0.01433,1
0.038,0.014838,1
0.039,0.014863,1
0.04,0.015596,1
0.041,0.015648,1
0.042,0.015913,1
0.043,0.015959,1
0.044,0.016347,1
0.045,0.01711,1
0.046,0.017437,1
0.047,0.017705,1
0.048,0.017878,1
0.049,0.018087,1
0.05,0.0189,-1
0.051,0.017921,-1
0.052,0.017565,-1
0.053,0.016847,-1
0.054,0.016126,-1
0.055,0.0158,-1
0.056,0.015574,-1
0.057,0.014591,-1
0.058,0.014437,-1
0.059,0.013936,-1
0.06,0.013558,-1
0.061,0.013075,-1
0.062,0.012371,-1
0.063,0.011904,-1
0.064,0.01124,-1
0.065,0.010667,-1
0.066,0.010345,-1
0.067,0.010106,-1
0.068,0.0092369,-1
0.069,0.0091225,-1
0.07,0.0083666,-1
0.071,0.0081257,-1
0.072,0.0075068,-1
0.073,0.0067271,-1
0.074,0.0065958,-1
0.075,0.0061334,-1
0.076,0.005172,-1
0.077,0.0052406,-1
0.078,0.0044233,-1
0.079,0.0043751,-1
0.08,0.0038712,-1
0.081,0.003486,-1
0.082,0.0030032,-1
0.083,0.0024105,-1
0.084,0.0018677,-1
0.085,0.0012455,-1
